,Fecha,PRECIO,DEMANDA,hidraulica,turbinacion bombeo,NUCLEAR,carbon,diesel,turbina de gas,turbina de vapor,ciclo combinado,eolica,solar fotovoltaica,solar termica,otras renovables,cogeneracion
3123,7/21/2019,49.30208333,691903.017,38978.534,195.438,165641.596,23421.768,7653.369,1981.825,3706.517,195463.379,108037.547,33051.446,19774.847,10162.345,77255.508
3124,7/22/2019,56.12583333,836080.36,54411.812,-17.235,165152.117,33952.117,8686.491,3264.642,4648.185,253657.068,141980.618,32940.117,24575.844,9761.211,78861.67
3125,7/23/2019,55.02875,857696.956,60251.389,1121.812,165387.961,39355.217,9101.459,3845.427,4406.934,276804.888,122649.264,31932.125,25359.847,8777.13,79239.28
3126,7/24/2019,55.83083333,860191.27,69122.685,-20.852,165135.316,42617.25,8836.076,4004.654,4528.31,303597.142,87325.278,33537.649,22056.642,8862.531,80799.366
3127,7/25/2019,53.6725,835226.076,57479.699,950.71,164718.878,31018.205,8814.277,3757.71,4204.039,282240.38,127506.476,33604.631,11002.475,9482.413,80305.137
3128,7/26/2019,52.335,809646.945,46356.943,313.624,165459.401,30811.063,8617.223,2970.128,3829.35,274795.128,111230.869,30856.396,24812.757,10096.879,82058.803
3129,7/27/2019,45.94166667,705760.649,35340.335,340.018,166751.796,23960.137,7822.736,2648.688,3856.942,176525.981,175780.084,27469.352,30157.083,10213.279,78642.696
3130,7/28/2019,45.59291667,639052.413,34430.145,140.367,167191.318,21062.966,7871.791,2087.524,3875.625,178359.806,94143.268,35354.718,30362.887,10240.978,75903.518
3131,7/29/2019,47.96666667,759984.776,40530.019,770.916,167225.469,24258.945,8577.279,3173.92,4286.041,224251.03,113763.329,36216.057,26731.116,9767.338,80988.067
3132,7/30/2019,48.03291667,773820.297,38216.282,725.714,166991.142,25903.007,8551.525,2859.667,4663.948,221899.716,120498.146,35888.992,26919.509,9678.718,81446.92
3133,7/31/2019,47.11291667,765475.695,37342.204,935.181,166813.411,27222.918,9038.522,2851.519,5095.011,228563.66,146243.628,30389.653,28935.431,10465.008,81928.218
3134,8/1/2019,48.21458333,789334.274,39828.088,4854.343,166158.165,27391.966,9235.068,3119.891,4918.954,279103.36,97158.926,33286.745,29469.973,10727.2,81102.559
3135,8/2/2019,48.85333333,784389.389,39977.344,2165.469,166257.72,27455.443,9056.202,2928.154,4714.955,276091.608,63960.319,35626.327,28900.034,10776.605,80807.109
3136,8/3/2019,47.40916667,706068.784,34210.193,1133.147,165451.893,20238.192,9057.86,2405.646,2876.348,251015.123,58294.5,34871.935,29159.27,10810.039,76251.136
3137,8/4/2019,46.40791667,659374.462,34169.662,2441.136,165072.17,19910.119,7684.447,1997.886,2328.851,214313.498,63021.761,34651.778,27918.613,10801.094,73127.594
3138,8/5/2019,50.27333333,772347.5,40534.909,1392.729,164658.054,22974.3,9147.756,2800.869,2947.355,271521.221,59587.196,34806.43,8037.17,10321.385,76764.685
