"","Andalucía","Aragón","Asturias, Principado de","Balears, Illes","Canarias","Cantabria","Castilla y León","Castilla - La Mancha","Cataluña","Comunitat Valenciana","Extremadura","Galicia","Madrid, Comunidad de","Murcia, Región de","Navarra, Comunidad Foral de","País Vasco","Rioja, La"
"X2022M01","103.461"," 96.717","105.352"," 94.555"," 97.748"," 96.740"," 95.348"," 97.489"," 93.359","100.278"," 89.304"," 95.653"," 94.769"," 97.245","100.499","100.589"," 96.218"
"X2021M12","106.623"," 97.038","109.308"," 93.013","102.196"," 96.086"," 98.681"," 99.984"," 94.545"," 96.853"," 72.636","100.101","101.494","102.601"," 88.200"," 91.860"," 90.924"
"X2021M11","109.901","113.742","108.958","101.942","107.961","101.542","108.067","113.745","108.781","103.114"," 92.383","100.647","111.718","109.343","112.278","110.874","105.734"
"X2021M10","102.731"," 99.607","105.372","110.379","105.909"," 96.569"," 93.031","105.575","100.854","100.003","105.028"," 97.528","101.378"," 95.527","105.287","106.089","103.271"
"X2021M09","103.876"," 96.952","106.672","113.410","107.523","103.682"," 99.510","104.757","100.752","110.432","115.101","100.401","104.508","107.331","110.778","103.703","108.085"
"X2021M08"," 88.327"," 77.872"," 85.196","110.805"," 95.510"," 89.789"," 77.840"," 89.529"," 75.867"," 80.926","127.109"," 83.314"," 76.226"," 96.496"," 82.496"," 68.322"," 78.395"
"X2021M07","104.696","102.471"," 98.626","116.708","105.055"," 96.556"," 97.762","106.916","106.069","105.608","110.588"," 96.941","106.276","106.735"," 95.386","107.775","108.222"
"X2021M06","105.681","104.365"," 98.356","101.615"," 94.111"," 99.465","100.232"," 92.992","101.814","105.338","106.951"," 96.616","105.004","103.146","111.490","106.238","106.493"
"X2021M05","101.555","102.928"," 99.471"," 88.816"," 94.187","103.527"," 97.658"," 94.435","104.537","103.099","105.711"," 96.242","100.277","104.259","105.208","107.140"," 99.099"
"X2021M04"," 96.387"," 95.063","100.050"," 90.744"," 96.758"," 98.957"," 95.058"," 97.551","102.286"," 98.717"," 81.344","104.472"," 98.449"," 99.315"," 97.497"," 98.668"," 97.309"
"X2021M03"," 99.047","112.040","100.333"," 97.662","103.283","115.364","114.412","107.848","111.236","110.845"," 93.049","111.414","111.807","101.451","103.597","110.460","109.468"
"X2021M02"," 87.966"," 99.202"," 91.225"," 87.266"," 89.302","103.322","114.564"," 93.564"," 98.807"," 93.016"," 92.742","107.826"," 99.291"," 87.662"," 94.362"," 97.519"," 92.961"
"X2021M01"," 93.211"," 98.719"," 96.433"," 87.639"," 98.204"," 95.141","103.185"," 93.103"," 94.452"," 92.048"," 97.358","104.499"," 83.571"," 86.134"," 93.423"," 91.352","100.038"
"X2020M12"," 95.829"," 99.404"," 88.914"," 92.264"," 98.006"," 90.372","102.745"," 95.589"," 91.434"," 97.240"," 92.922"," 99.016"," 98.936"," 91.928"," 82.857"," 86.311"," 97.036"
"X2020M11"," 97.911","107.332"," 94.105"," 86.158","101.978","101.737","111.745","100.151","103.002","104.177","100.502","105.459","101.941"," 99.604","103.428","103.320","112.221"
"X2020M10","101.442","112.968"," 95.773"," 90.928","103.595","101.560","111.578","107.833","104.461","105.788","103.356","104.721","102.871"," 95.860","102.799","104.472","111.082"
"X2020M09","102.721","110.175"," 87.084"," 89.587"," 97.969","101.366","101.666","103.717","100.220","102.825","121.742","108.962","101.772","107.154","106.380","103.346","100.559"
"X2020M08"," 93.488"," 81.013"," 72.930"," 98.433"," 95.391"," 79.850"," 72.500"," 89.538"," 70.899"," 79.358","118.147"," 82.205"," 79.131"," 97.835"," 84.322"," 61.662"," 67.757"
"X2020M07","109.992","107.729"," 85.809","102.316"," 99.900"," 92.735","106.078","105.286","104.054","107.259","100.920"," 97.754","106.478","116.927"," 89.943","104.318"," 95.510"
"X2020M06"," 95.166"," 98.634"," 82.715"," 84.700"," 88.177"," 92.618"," 95.762"," 88.742"," 90.588"," 94.988"," 76.070"," 86.478"," 94.321","106.304"," 96.095"," 95.363"," 83.725"
"X2020M05","82.411","77.969","76.046","76.237","85.294","78.074","78.223","82.680","78.908","80.188","64.975","69.017","84.866","91.412","78.131","80.896","83.338"
"X2020M04","72.741","59.934","64.111","65.458","78.912","65.546","60.624","71.280","66.738","61.085","67.321","56.004","72.161","83.965","55.124","61.136","71.139"
"X2020M03"," 91.083"," 94.762"," 93.073"," 95.987","105.699"," 90.393"," 91.468"," 99.090"," 96.206"," 93.154"," 95.454"," 93.886"," 96.876"," 95.933"," 82.664"," 90.638","103.041"
