Fecha,Hidráulica,Turbinación bombeo,Nuclear,Fuel + Gas,Ciclo combinado,Eólica,Solar fotovoltaica,Solar térmica,Otras renovables,Cogeneración,Residuos no renovables,Residuos renovables,Generación total
06-2021,396508.174,7958.452,1384081.198,0.0,482977.76,151007.973,41692.932,9631.26,11316.538,370379.152,13402.405,12739.654,2881695.498
07-2021,256177.832,6782.128,2212781.675,0.0,359794.076,222029.968,46367.863,9023.407,11798.21,383542.38,13642.327,12990.662,3534930.5279999995
08-2021,240942.055,9330.536,2199375.176,0.0,349389.919,171972.542,40925.991,9704.384,10659.251,367106.589,12337.95,12137.019,3423881.412
09-2021,224538.47,3390.178,2129516.873,0.0,540128.542,130254.146,31712.706,8364.173,12685.698,359650.094,12121.8865,11684.6345,3464047.401
10-2021,172299.286,11186.467,1822303.317,0.0,463247.045,125566.86,30396.481,8961.755,13878.846,374336.849,13172.7015,12451.9085,3047801.516
11-2021,141040.659,13421.354,1419282.214,0.0,635415.227,313649.077,20273.577,6788.279,13053.68,368379.888,10832.206,10471.526,2952607.687
12-2021,317869.122,21030.376,2067036.768,0.0,523523.778,306349.158,16719.041,4233.212,14790.403,359590.247,13035.064,12481.301,3656658.4699999993
01-2022,249639.308,10776.135,2273443.358,-195.739,487183.215,239893.722,25649.303,5620.883,13960.149,369364.092,12065.8195,11316.8495,3698912.8340000003
02-2022,162486.441,6735.721,2046105.759,-206.971,400168.651,259317.577,25663.87,7089.632,12800.387,392557.166,11511.8535,11036.1315,3335473.189000001
03-2022,205283.117,12267.046,2257947.538,-193.982,378864.703,226302.151,19813.657,5882.539,14710.573,415798.051,12807.8135,12279.0475,3561956.236
04-2022,317340.727,19585.011,1940361.117,-266.628,383539.269,247485.523,38110.98,4551.84,13766.723,325321.192,12535.03,12081.13,3314678.5419999994
05-2022,451514.711,16199.318,1507673.003,-172.08,526800.376,192078.108,46228.133,3582.845,15533.888,344422.343,13444.98,13163.442,3130641.147
06-2022,291586.307,13454.707,2093359.679,-153.101,867341.052,188191.519,44476.84,9945.088,12632.942,293530.29,12087.1205,11702.8415,3838308.386
07-2022,201674.569,25145.488,2132956.93,-153.522,1084284.794,182630.188,45760.033,10638.86,12976.322,207826.487,13637.21,13348.626,3930879.5070000007
08-2022,201303.02,33766.126,2175369.392,-143.194,950864.273,163448.55,42253.015,9692.609,12003.98,136049.699,11464.512,11329.85,3747545.0260000005
09-2022,164623.024,34284.773,2110802.936,-126.245,993927.693,193910.912,33806.319,5161.065,11990.759,169573.696,12932.671,12251.319,3743265.1670000004
10-2022,153051.995,31265.176,1766545.66,-133.809,845948.897,138131.922,26626.248,2563.998,14302.012,242717.403,7810.542,7046.403,3236010.256
11-2022,142843.418,25391.699,1461076.269,-136.351,481258.377,264184.792,20428.355,1122.372,13551.121,315852.2,10741.0865,10311.6265,2746761.316
12-2022,136507.065,40194.226,2219242.177,-152.517,529681.121,159021.89,15863.554,1801.13,13579.474,194654.755,13038.254,12189.838,3335773.4840000006
01-2023,132811.411,36781.72,2205761.438,0.0,321635.622,360027.809,21932.359,1865.51,13025.421,230412.011,12362.842,11749.521,3348365.6640000003
02-2023,129045.461,14996.237,1875854.742,0.0,482489.167,176087.718,26260.1,2539.488,13583.286,355552.996,10629.292,9930.915,3096969.402
03-2023,212686.669,33183.813,2128613.498,-148.739,372505.979,319590.096,38080.257,4269.642,14139.408,349213.435,10858.1605,10277.8665,3493418.824
04-2023,195936.038,42090.764,2059253.247,-141.007,293914.985,285965.507,42438.678,6822.768,12644.68,315390.738,11898.6795,11279.4435,3277635.5280000004
05-2023,226010.887,21532.477,1509247.156,-140.9,530200.869,227843.445,41000.131,7760.805,11772.805,357757.872,12383.0225,11885.6765,2957395.146
06-2023,289837.491,16681.685,1687285.585,-116.846,615910.791,134959.17,37516.026,8269.108,11075.295,368132.362,13209.303,12548.693,3195425.509
07-2023,207041.02,17987.078,2174998.565,-109.85,538231.159,222165.502,42024.561,9473.672,10757.908,300134.764,12844.643,12419.584,3548078.4559999993
08-2023,167226.387,20792.793,2102997.837,-42.239,623777.306,297116.369,42297.685,8475.34,8995.501,289480.191,12193.0575,11885.8405,3585238.307
09-2023,124289.195,23773.998,1787566.289,-40.735,485531.368,195893.372,33905.707,1236.758,8899.809,323969.612,13038.3355,12344.8345,3010449.278
10-2023,116196.377,7978.776,1478414.475,-37.553,592939.848,188708.652,27769.377,4969.778,9582.721,273206.212,12713.8975,11792.7355,2724272.848999999
11-2023,152362.792,37120.811,1381672.73,-37.085,558858.295,337405.672,21290.523,5306.025,9263.629,202573.599,12552.0475,11949.3925,2730355.516
12-2023,249852.969,37864.437,1976442.392,-20.549,410191.698,329660.784,19037.461,4959.8,9863.737,236238.14,12900.6955,12398.1835,3299410.297
